2026-09-18T10:38:11Z INFO Logging to /tmp/logs/update_2026-09-18T10-38-11Z.log.
2026-09-18T10:38:11Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-18T10:38:11Z INFO Processing 500 items (48787 already recorded).
2026-09-18T10:48:46Z INFO [142/500] 043d8d06-6c81-405a-abd8-635d5c8df643: Sackin index -0.1658; 0.4 s; peak memory 540 MiB.
2026-09-18T10:48:47Z INFO [143/500] 043e0f43-1849-4e1f-937e-321736b7bc05: Sackin index -0.0673; 1.6 s; peak memory 540 MiB.
2026-09-18T10:48:49Z INFO [144/500] 043eeced-2796-4445-97e1-64c32e7611be: Sackin index -0.0660; 1.8 s; peak memory 540 MiB.
2026-09-18T10:48:52Z INFO [145/500] 043f7b57-10ba-4894-9d74-3db51dd68bcb: Sackin index -0.0256; 3.0 s; peak memory 540 MiB.
2026-09-18T10:48:55Z INFO [146/500] 043f7c9b-917e-498d-b851-421e178a258e: Sackin index -0.1938; 2.6 s; peak memory 540 MiB.
2026-09-18T10:48:55Z INFO [147/500] 044004c6-7763-4dd2-ba98-e09509c035b7: Sackin index -0.0702; 0.8 s; peak memory 540 MiB.
2026-09-18T10:48:56Z INFO [148/500] 0440660f-4538-427a-b391-e74617a57890: Sackin index -0.1273; 0.9 s; peak memory 540 MiB.
2026-09-18T10:48:57Z INFO [149/500] 0440c9c0-9e20-424b-bca2-460aa41e2318: Sackin index -0.1191; 0.5 s; peak memory 540 MiB.
2026-09-18T10:49:01Z INFO [150/500] 044137a4-1c92-434c-b59c-95015df7c847: Sackin index -0.0161; 3.8 s; peak memory 540 MiB.
2026-09-18T10:49:01Z INFO [150/500] 044137a4-1c92-434c-b59c-95015df7c847: checkpointed 48937 records.
2026-09-18T10:49:02Z INFO [151/500] 04415616-1920-40bf-866d-bcf973505e48: Sackin index -0.0732; 1.0 s; peak memory 540 MiB.
2026-09-18T10:49:13Z INFO [152/500] 044220d9-a6ca-4615-9762-5fe2f4d66c59: Sackin index -0.1367; 11.7 s; peak memory 540 MiB.
2026-09-18T10:49:16Z INFO [153/500] 044299ee-6811-4bcf-86ff-85190115ffad: Sackin index -0.0232; 2.8 s; peak memory 540 MiB.
2026-09-18T10:49:17Z INFO [154/500] 0442bce5-6d21-4f25-ba4f-8733f6499773: Sackin index -0.1731; 0.6 s; peak memory 540 MiB.
2026-09-18T10:49:17Z INFO [155/500] 04438721-1cfb-421a-a09b-2636795a1958: Sackin index -0.1349; 0.7 s; peak memory 540 MiB.
2026-09-18T10:49:18Z INFO [156/500] 044510f3-bad8-4109-814c-d5163a9543bd: Sackin index -0.1349; 0.6 s; peak memory 540 MiB.
2026-09-18T10:49:19Z INFO [157/500] 04451465-318c-41c5-aa1d-754380546145: Sackin index -0.0376; 1.0 s; peak memory 540 MiB.
2026-09-18T10:50:30Z INFO [158/500] 04452f80-d8f8-417d-81c3-cbc363fd1c9f: Sackin index -0.0410; 70.9 s; peak memory 540 MiB.
2026-09-18T10:50:31Z INFO [159/500] 044540e1-2d8b-4010-8b23-cb4afc078b90: Sackin index -0.1938; 1.0 s; peak memory 540 MiB.
2026-09-18T10:50:31Z INFO [160/500] 04456bbc-1c7a-4b0d-b3d8-b56a8c5e4048: Sackin index -0.1349; 0.6 s; peak memory 540 MiB.
2026-09-18T10:50:32Z INFO [161/500] 0445f0de-a173-4744-ab28-55fc01a5fd21: Sackin index -0.1349; 0.7 s; peak memory 540 MiB.
2026-09-18T10:50:33Z INFO [162/500] 0445fe35-d8ff-4acc-a86c-12d39713e791: Sackin index -0.0369; 1.1 s; peak memory 540 MiB.
2026-09-18T10:50:34Z INFO [163/500] 04462012-4452-4ff8-85db-cbef81f57f72: Sackin index -0.0709; 0.8 s; peak memory 540 MiB.
2026-09-18T10:50:36Z INFO [164/500] 0446ca14-c873-4f84-b250-1b96eccce201: Sackin index -0.0797; 1.8 s; peak memory 540 MiB.
2026-09-18T10:50:38Z INFO [165/500] 04486d67-c753-4c24-b04f-4e93d0d96716: Sackin index -0.0693; 1.6 s; peak memory 540 MiB.
