2026-09-17T16:18:29Z INFO Logging to /tmp/logs/update_2026-09-17T16-18-29Z.log.
2026-09-17T16:18:29Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-17T16:18:29Z INFO Processing 385 items (48030 already recorded).
2026-09-17T17:02:51Z INFO [132/385] 02949b71-7360-4a8f-9b81-9f51282f8e5c: Sackin index -0.0728; 2.4 s; peak memory 1308 MiB.
2026-09-17T17:02:53Z INFO [133/385] 0294e0a5-df23-4bd9-bb5f-f1660afbbc22: Sackin index -0.0728; 2.0 s; peak memory 1308 MiB.
2026-09-17T17:02:55Z INFO [134/385] 02950439-2230-46aa-bae8-d7ee63bff896: Sackin index -0.1349; 1.4 s; peak memory 1308 MiB.
2026-09-17T17:03:00Z INFO [135/385] 02954af6-e78d-4cde-8f65-e57e804b4eb1: Sackin index -0.0230; 5.2 s; peak memory 1308 MiB.
2026-09-17T17:03:02Z INFO [136/385] 02954c97-270f-4783-8d50-1017070272e0: Sackin index -0.0387; 1.8 s; peak memory 1308 MiB.
2026-09-17T17:03:03Z INFO [137/385] 02959882-f6a0-4953-8315-ae122f73ee3e: Sackin index -0.1602; 1.7 s; peak memory 1308 MiB.
2026-09-17T17:03:05Z INFO [138/385] 0295bd30-d875-4221-8bf9-fd26a50e4730: Sackin index -0.1269; 2.1 s; peak memory 1308 MiB.
2026-09-17T17:03:07Z INFO [139/385] 02966e4b-e374-497b-a978-f323a372b4da: Sackin index -0.1178; 1.2 s; peak memory 1308 MiB.
2026-09-17T17:03:10Z INFO [140/385] 0297c5f6-6d74-4df9-9180-0a63573ad406: Sackin index -0.0252; 3.4 s; peak memory 1308 MiB.
2026-09-17T17:03:12Z INFO [141/385] 02995666-ca83-462e-8955-8cade5c9dad0: Sackin index -0.0376; 1.7 s; peak memory 1308 MiB.
2026-09-17T17:03:14Z INFO [142/385] 0299a00d-47db-4aa9-b708-b4428c271107: Sackin index -0.0434; 2.2 s; peak memory 1308 MiB.
2026-09-17T17:03:16Z INFO [143/385] 0299aacd-4811-437f-9539-54feaa63e240: Sackin index -0.1492; 1.6 s; peak memory 1308 MiB.
2026-09-17T17:03:32Z INFO [144/385] 0299de1d-65a8-49d3-b61e-68a329ec7256: Sackin index -0.0139; 16.1 s; peak memory 1308 MiB.
2026-09-17T17:03:49Z INFO [145/385] 029aded6-3070-4d1f-a252-41fad264a6fe: Sackin index -0.0101; 17.1 s; peak memory 1308 MiB.
2026-09-17T17:03:50Z INFO [146/385] 029bf697-4540-4395-b264-3edb210470a8: Sackin index -0.1878; 1.4 s; peak memory 1308 MiB.
2026-09-17T17:03:52Z INFO [147/385] 029d5a86-0e9b-418c-813b-ffb02539af15: Sackin index -0.0728; 2.1 s; peak memory 1308 MiB.
2026-09-17T17:32:18Z INFO [148/385] 029d6050-dc13-418b-97a3-bbfbd958e998: Sackin index -0.0306; 1705.4 s; peak memory 1308 MiB.
2026-09-17T17:32:20Z INFO [149/385] 029d681f-5887-4e88-9d28-627bd08d5723: Sackin index -0.0702; 1.9 s; peak memory 1308 MiB.
2026-09-17T17:32:21Z INFO [150/385] 029e9a5f-0496-4bb0-a829-867ab99f8839: Sackin index -0.0376; 1.6 s; peak memory 1308 MiB.
2026-09-17T17:32:21Z INFO [150/385] 029e9a5f-0496-4bb0-a829-867ab99f8839: checkpointed 48180 records.
2026-09-17T17:34:29Z INFO [151/385] 029ea7e2-96c1-4daa-bed3-0251b54fc56e: Sackin index -0.0276; 127.7 s; peak memory 1308 MiB.
2026-09-17T17:34:31Z INFO [152/385] 029ecb06-e88c-4b7b-99f8-f434c257921c: Sackin index -0.0745; 2.3 s; peak memory 1308 MiB.
2026-09-17T17:34:48Z INFO [153/385] 02a17d04-270c-4fbf-9736-b02f5edc72bc: Sackin index -0.0137; 16.5 s; peak memory 1308 MiB.
2026-09-17T17:34:49Z INFO [154/385] 02a1d9ba-34cf-4ec3-9da4-a6d09389448f: Sackin index -0.1349; 1.4 s; peak memory 1308 MiB.
2026-09-17T17:34:53Z INFO [155/385] 02a24b84-5179-429c-8e97-d03da5ecbcb1: Sackin index -0.0660; 3.9 s; peak memory 1308 MiB.
2026-09-17T17:34:55Z INFO [156/385] 02a2d86b-f848-4846-9e29-d92b8cbc38d2: Sackin index -0.0728; 2.1 s; peak memory 1308 MiB.
2026-09-17T17:34:57Z INFO [157/385] 02a32839-becd-4722-9c93-59e02da90002: Sackin index -0.0881; 1.8 s; peak memory 1308 MiB.
2026-09-17T17:35:00Z INFO [158/385] 02a37861-2b09-4c07-8421-2ffa0a97102e: Sackin index -0.0941; 2.6 s; peak memory 1308 MiB.
2026-09-17T17:35:01Z INFO [159/385] 02a40a80-742a-424e-8e01-7cda99237e8e: Sackin index -0.1349; 1.4 s; peak memory 1308 MiB.
2026-09-17T17:35:02Z INFO [160/385] 02a42b1f-1cf4-436f-9320-c7d937bad4fa: Sackin index -0.1349; 1.4 s; peak memory 1308 MiB.
2026-09-17T17:35:04Z INFO [161/385] 02a5842f-430f-4b12-a276-798dd69ae01a: Sackin index -0.1272; 1.1 s; peak memory 1308 MiB.
2026-09-17T17:35:05Z INFO [162/385] 02a6166e-28e2-4e65-b0cb-809e8a8f6cec: Sackin index -0.0696; 1.8 s; peak memory 1308 MiB.
2026-09-17T17:35:07Z INFO [163/385] 02a767b0-1fb4-4989-ad41-174aafcd972e: Sackin index -0.0702; 1.7 s; peak memory 1308 MiB.
2026-09-17T17:35:33Z INFO [164/385] 02a82567-39a8-4040-8860-17a550d6257d: Sackin index -0.0155; 25.7 s; peak memory 1308 MiB.
