2026-09-17T20:58:55Z INFO Logging to /tmp/logs/update_2026-09-17T20-58-55Z.log.
2026-09-17T20:58:55Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-17T20:58:55Z INFO Processing 372 items (48415 already recorded).
2026-09-17T21:23:00Z INFO [136/372] 0363be5b-35e7-48c3-99eb-2114cd2f852d: Sackin index -0.0261; 9.1 s; peak memory 1096 MiB.
2026-09-17T21:23:03Z INFO [137/372] 03640b7e-7a8d-4421-99d8-3b7ab51d3ff5: Sackin index -0.0369; 2.3 s; peak memory 1096 MiB.
2026-09-17T21:25:08Z INFO [138/372] 036479ff-b638-4212-9329-6b5454fdc7a7: Sackin index -0.0573; 125.6 s; peak memory 1096 MiB.
2026-09-17T21:25:18Z INFO [139/372] 03649a8b-8d4d-4ae8-93d3-a7de6d91de8e: Sackin index -0.0224; 9.9 s; peak memory 1096 MiB.
2026-09-17T21:25:20Z INFO [140/372] 03663897-00d6-4966-8eed-80ffbf7b9ea5: Sackin index -0.0732; 1.6 s; peak memory 1096 MiB.
2026-09-17T21:25:21Z INFO [141/372] 0366e129-5f82-43db-8a33-33fea8391cb4: Sackin index -0.1448; 1.2 s; peak memory 1096 MiB.
2026-09-17T21:28:42Z INFO [142/372] 0366fa38-44be-4caa-8366-abf46045e308: Sackin index -0.0667; 200.8 s; peak memory 1118 MiB.
2026-09-17T21:28:44Z INFO [143/372] 036719e6-8d14-44a8-853b-8b7cd6c94ebd: Sackin index -0.0379; 2.0 s; peak memory 1118 MiB.
2026-09-17T21:28:45Z INFO [144/372] 036787b8-1205-4ca6-ae07-fa30d6d9ab41: Sackin index -0.1349; 1.4 s; peak memory 1118 MiB.
2026-09-17T21:28:47Z INFO [145/372] 0367d7ed-5bfe-4f60-b1eb-5fa6b7a33595: Sackin index -0.0387; 1.7 s; peak memory 1118 MiB.
2026-09-17T21:28:50Z INFO [146/372] 03686970-8ef3-4fe1-b01a-fd5336f55a48: Sackin index -0.0693; 3.4 s; peak memory 1118 MiB.
2026-09-17T21:29:00Z INFO [147/372] 036886da-2908-4b4d-acc4-4012b20eb69f: Sackin index -0.0180; 9.7 s; peak memory 1118 MiB.
2026-09-17T21:29:02Z INFO [148/372] 036a6fbe-2be9-4f4b-abe5-22cd936dda6b: Sackin index -0.0728; 1.8 s; peak memory 1118 MiB.
2026-09-17T21:29:03Z INFO [149/372] 036b84a2-7fb0-4fe5-abe3-0b664f03ea46: Sackin index -0.1349; 1.3 s; peak memory 1118 MiB.
2026-09-17T21:29:07Z INFO [150/372] 036cb812-7e39-44ed-a7aa-46f6d17f3a92: Sackin index -0.0660; 4.1 s; peak memory 1118 MiB.
2026-09-17T21:29:08Z INFO [150/372] 036cb812-7e39-44ed-a7aa-46f6d17f3a92: checkpointed 48565 records.
2026-09-17T21:29:09Z INFO [151/372] 036d9166-d206-48d0-84e2-8d0e0e7bde9d: Sackin index -0.1349; 1.4 s; peak memory 1118 MiB.
2026-09-17T21:29:10Z INFO [152/372] 036ea15c-6a03-4daa-934e-4daf8ac79520: Sackin index -0.1448; 1.2 s; peak memory 1118 MiB.
