2026-09-26T00:23:18Z INFO Logging to /tmp/logs/update_2026-09-26T00-23-18Z.log.
2026-09-26T00:23:18Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-26T00:23:18Z INFO Processing 364 items (57658 already recorded).
2026-09-26T00:46:58Z INFO [125/364] 16a2a3b4-d973-48ed-81fa-a07d141eb8c4: Sackin index -0.0205; 7.6 s; peak memory 506 MiB.
2026-09-26T00:47:06Z INFO [126/364] 16a2a626-43bb-4154-935a-7a4fc82a368a: Sackin index -0.0017; 8.1 s; peak memory 506 MiB.
2026-09-26T00:47:08Z INFO [127/364] 16a4cc06-ff3c-4ff7-ad4b-1a96043beaa7: Sackin index -0.0704; 2.6 s; peak memory 506 MiB.
2026-09-26T00:47:31Z INFO [128/364] 16a52a8b-3c45-4a57-acd9-360ef7f36cee: Sackin index -0.0150; 22.2 s; peak memory 506 MiB.
2026-09-26T00:47:32Z INFO [129/364] 16a677fb-edfc-4669-8b49-b5310cc0f939: Sackin index -0.0370; 1.7 s; peak memory 506 MiB.
2026-09-26T00:47:33Z INFO [130/364] 16a68d90-eec9-40ef-a569-274a9cab3310: Sackin index -0.1349; 1.2 s; peak memory 506 MiB.
2026-09-26T00:47:35Z INFO [131/364] 16a6dae9-51f5-4b44-a72c-65cf3702c3d3: Sackin index -0.1349; 1.1 s; peak memory 506 MiB.
2026-09-26T00:47:36Z INFO [132/364] 16a7053a-ff0c-4316-971d-9405da0a2be3: Sackin index -0.1658; 1.0 s; peak memory 506 MiB.
2026-09-26T00:47:38Z INFO [133/364] 16a77e90-a7d4-4c71-9392-05d46085d89d: Sackin index -0.0369; 2.3 s; peak memory 506 MiB.
2026-09-26T00:47:40Z INFO [134/364] 16a7f4f2-dbb1-406e-aca9-34535fefe530: Sackin index -0.0272; 2.1 s; peak memory 506 MiB.
2026-09-26T00:47:41Z INFO [135/364] 16a9728d-5a65-4d70-973f-bd678fd9b60d: Sackin index -0.0702; 1.3 s; peak memory 506 MiB.
2026-09-26T00:47:43Z INFO [136/364] 16a9bb69-9d27-41f9-a133-f0c15f4de157: Sackin index -0.1349; 1.3 s; peak memory 506 MiB.
